Student_ID,Registration_No,Name,Gender,Intake,Degree_ID,Current_Year,Current_Semester,Current_SGPA,Previous_SGPA,FGPA,Attendance_Percentage,Attendance_Approved,Fee_Paid,Exam_Eligibility,Repeated_Courses,Student_Status,Academic_Risk
S0001,D/BSE/25/0005,Student_A,Female,42,D001,1,1,3.5714,0.0,3.5714,94,Yes,Yes,Eligible,0,Completed,Low Risk
S0002,D/BSE/25/0006,Student_B,Female,42,D001,1,1,2.5571,0.0,2.5571,82,Yes,Yes,Eligible,0,Completed,Medium Risk
S0003,D/BSE/25/0012,Student_C,Male,42,D001,1,1,3.7571,0.0,3.7571,96,Yes,Yes,Eligible,0,Completed,Low Risk
S0004,D/BSE/25/0013,Student_D,Male,42,D001,1,1,2.3905,0.0,2.3905,72,No,Yes,Not Eligible,1,Not Completed,Medium Risk
S0005,D/BSE/25/0019,Student_E,Male,42,D001,1,1,2.6476,0.0,2.6476,78,Yes,Yes,Eligible,0,Completed,Medium Risk
S0006,D/BCS/25/0006,Student_F,Male,42,D002,1,1,3.9571,0.0,3.9571,97,Yes,Yes,Eligible,0,Completed,Low Risk
S0007,D/BCS/25/0016,Student_G,Male,42,D002,1,1,3.7095,0.0,3.7095,86,Yes,Yes,Eligible,0,Completed,Low Risk
S0008,D/BCS/25/0018,Student_H,Male,42,D002,1,1,2.4381,0.0,2.4381,68,No,Yes,Not Eligible,1,Not Completed,Medium Risk
S0009,D/BCS/25/0023,Student_I,Male,42,D002,1,1,3.7857,0.0,3.7857,91,Yes,Yes,Eligible,0,Completed,Low Risk
S0010,D/BCS/25/0029,Student_J,Male,42,D002,1,1,3.0952,0.0,3.0952,83,Yes,Yes,Eligible,0,Completed,Low Risk
S0011,D/COE/25/0002,Student_K,Male,42,D003,1,1,3.8048,0.0,3.8048,95,Yes,Yes,Eligible,0,Completed,Low Risk
S0012,D/COE/25/0008,Student_L,Male,42,D003,1,1,3.8048,0.0,3.8048,92,Yes,Yes,Eligible,0,Completed,Low Risk
S0013,D/COE/25/0019,Student_M,Male,42,D003,1,1,2.6619,0.0,2.6619,76,Yes,Yes,Eligible,0,Completed,Medium Risk
S0014,D/COE/25/0021,Student_N,Male,42,D003,1,1,3.5714,0.0,3.5714,89,Yes,Yes,Eligible,0,Completed,Low Risk
S0015,D/COE/25/0025,Student_O,Male,42,D003,1,1,3.0333,0.0,3.0333,79,Yes,Yes,Eligible,0,Completed,Low Risk
S0016,D/DBA/25/0006,Student_P,Female,42,D004,1,1,2.3812,0.0,2.3812,94,Yes,Yes,Eligible,0,Completed,Medium Risk
S0017,D/DBA/25/0011,Student_Q,Male,42,D004,1,1,3.7875,0.0,3.7875,82,Yes,Yes,Eligible,0,Completed,Low Risk
S0018,D/DBA/25/0031,Student_R,Male,42,D004,1,1,2.1125,0.0,2.1125,96,Yes,Yes,Eligible,2,Not Completed,High Risk
S0019,D/DBA/25/0035,Student_S,Male,42,D004,1,1,3.8625,0.0,3.8625,72,Yes,Yes,Eligible,0,Completed,Low Risk
S0020,D/DBA/25/0027,Student_T,Male,42,D004,1,1,2.3312,0.0,2.3312,78,Yes,Yes,Eligible,1,Not Completed,Medium Risk
S0021,D/ICT/25/0001,Student_U,Male,42,D005,1,1,3.4211,0.0,3.4211,92,Yes,Yes,Eligible,0,Completed,Low Risk
S0022,D/ICT/25/0002,Student_V,Female,42,D005,1,1,3.1789,0.0,3.1789,88,Yes,Yes,Eligible,0,Completed,Low Risk
S0023,D/ICT/25/0003,Student_W,Male,42,D005,1,1,2.0211,0.0,2.0211,95,Yes,Yes,Eligible,1,Not Completed,Medium Risk
S0024,D/ICT/25/0004,Student_X,Female,42,D005,1,1,3.6789,0.0,3.6789,85,Yes,Yes,Eligible,0,Completed,Low Risk
S0025,D/ICT/25/0005,Student_Y,Male,42,D005,1,1,3.0053,0.0,3.0053,84,Yes,Yes,Eligible,0,Completed,Low Risk
S0026,D/DBA/25/0036,Student_0026,Male,40,D004,3,5,3.4,3.4571,3.4345,67,No,Yes,Not Eligible,0,Completed,Low Risk
S0027,D/BCS/25/0037,Student_0027,Female,40,D002,3,6,3.45,3.3692,3.44,87,No,Yes,Eligible,0,Completed,Low Risk
S0028,D/ICT/25/0038,Student_0028,Male,40,D005,3,6,3.3,3.13,3.2509,85,No,Yes,Eligible,0,Completed,Low Risk
S0029,D/BSE/25/0039,Student_0029,Male,42,D001,1,1,3.0048,0.0,3.0048,80,No,Yes,Eligible,0,Completed,Low Risk
S0030,D/DBA/25/0040,Student_0030,Female,39,D004,4,8,2.7,3.1231,3.2829,99,No,Yes,Eligible,0,Completed,Low Risk
S0031,D/BSE/25/0041,Student_0031,Female,41,D001,2,3,3.08,3.1278,2.9797,88,No,Yes,Eligible,0,Completed,Medium Risk
S0032,D/ICT/25/0042,Student_0032,Male,40,D005,3,6,4.0,3.15,3.4482,85,No,Yes,Eligible,0,Completed,Low Risk
S0033,D/COE/25/0043,Student_0033,Male,41,D003,2,4,4.0,4.0,3.9532,85,No,Yes,Eligible,0,Completed,Low Risk
S0034,D/ICT/25/0044,Student_0034,Female,41,D005,2,3,3.113,3.745,3.4065,88,No,Yes,Eligible,0,Completed,Low Risk
S0035,D/DBA/25/0045,Student_0035,Male,40,D004,3,5,3.7579,3.6143,3.4464,84,No,Yes,Eligible,0,Completed,Low Risk
S0036,D/BSE/25/0046,Student_0036,Female,41,D001,2,4,2.8053,3.2,3.0385,84,No,Yes,Eligible,0,Completed,Low Risk
S0037,D/ICT/25/0047,Student_0037,Male,42,D005,1,2,3.46,3.2158,3.341,78,Yes,Yes,Eligible,0,Completed,Low Risk
S0038,D/BSE/25/0048,Student_0038,Male,41,D001,2,3,3.9,3.9222,3.878,86,No,Yes,Eligible,0,Completed,Low Risk
S0039,D/BCS/25/0049,Student_0039,Male,42,D002,1,1,3.5333,0.0,3.5333,84,No,Yes,Eligible,0,Completed,Low Risk
S0040,D/DBA/25/0050,Student_0040,Male,39,D004,4,8,3.7,3.4692,3.5386,96,No,Yes,Eligible,0,Completed,Low Risk
S0041,D/ICT/25/0051,Student_0041,Female,42,D005,1,2,3.825,3.8316,3.8282,89,No,Yes,Eligible,0,Completed,Low Risk
S0042,D/BCS/25/0052,Student_0042,Male,40,D002,3,6,2.1385,2.3538,2.2015,81,No,Yes,Eligible,4,Not Completed,High Risk
S0043,D/BCS/25/0053,Student_0043,Male,42,D002,1,2,3.7111,3.3667,3.5256,89,No,Yes,Eligible,0,Completed,Low Risk
S0044,D/ICT/25/0054,Student_0044,Male,40,D005,3,5,3.935,3.8409,3.8962,90,No,Yes,Eligible,0,Completed,Low Risk
S0045,D/BCS/25/0055,Student_0045,Female,40,D002,3,5,3.0462,3.4368,3.1221,87,No,Yes,Eligible,0,Completed,Low Risk
S0046,D/BSE/25/0056,Student_0046,Female,41,D001,2,3,2.74,2.2278,2.5763,84,No,Yes,Eligible,1,Not Completed,Medium Risk
S0047,D/DBA/25/0057,Student_0047,Male,42,D004,1,1,2.925,0.0,2.925,79,Yes,Yes,Eligible,0,Completed,Medium Risk
